Número de Orden,Número de Mesa,Nombre del Plato,Descripción del Plato,Costo Unitario,Precio Unitario,Cantidad Ordenada,Tiempo de Preparación,Observaciones
1,10,Plato_7,Descripción del Plato_7,14,24,2,25,Ninguna
1,10,Plato_2,Descripción del Plato_2,18,30,3,32,Sin cebolla
2,6,Plato_17,Descripción del Plato_17,19,31,1,51,Ninguna
2,6,Plato_6,Descripción del Plato_6,16,27,1,34,Sin cebolla
3,20,Plato_20,Descripción del Plato_20,25,40,1,9,Sin cebolla
3,20,Plato_17,Descripción del Plato_17,19,31,1,27,Ninguna
3,20,Plato_19,Descripción del Plato_19,22,36,1,36,Ninguna
3,20,Plato_9,Descripción del Plato_9,17,29,2,54,Sin cebolla
4,3,Plato_11,Descripción del Plato_11,20,33,3,23,Sin cebolla
4,3,Plato_16,Descripción del Plato_16,16,28,3,17,Ninguna
5,8,Plato_12,Descripción del Plato_12,11,19,1,8,Ninguna
5,8,Plato_7,Descripción del Plato_7,14,24,2,9,Sin cebolla
6,7,Plato_8,Descripción del Plato_8,21,35,2,11,Sin cebolla
7,17,Plato_15,Descripción del Plato_15,19,32,2,15,Sin cebolla
7,17,Plato_19,Descripción del Plato_19,22,36,3,26,Ninguna
8,11,Plato_5,Descripción del Plato_5,13,22,3,11,Ninguna
8,11,Plato_16,Descripción del Plato_16,16,28,2,8,Ninguna
8,11,Plato_20,Descripción del Plato_20,25,40,3,36,Ninguna
9,15,Plato_2,Descripción del Plato_2,18,30,1,51,Ninguna
9,15,Plato_7,Descripción del Plato_7,14,24,1,49,Sin cebolla
9,15,Plato_12,Descripción del Plato_12,11,19,1,15,Ninguna
9,15,Plato_15,Descripción del Plato_15,19,32,3,31,Ninguna
10,17,Plato_18,Descripción del Plato_18,20,34,2,10,Sin cebolla
10,17,Plato_20,Descripción del Plato_20,25,40,2,19,Ninguna
11,14,Plato_16,Descripción del Plato_16,16,28,1,32,Sin cebolla
11,14,Plato_2,Descripción del Plato_2,18,30,2,24,Sin cebolla
12,14,Plato_16,Descripción del Plato_16,16,28,1,5,Sin cebolla
12,14,Plato_19,Descripción del Plato_19,22,36,3,44,Ninguna
12,14,Plato_8,Descripción del Plato_8,21,35,2,6,Ninguna
12,14,Plato_20,Descripción del Plato_20,25,40,3,40,Ninguna
13,2,Plato_9,Descripción del Plato_9,17,29,3,59,Sin cebolla
14,16,Plato_3,Descripción del Plato_3,12,20,1,36,Ninguna
14,16,Plato_11,Descripción del Plato_11,20,33,1,26,Ninguna
14,16,Plato_14,Descripción del Plato_14,14,23,2,44,Sin cebolla
14,16,Plato_2,Descripción del Plato_2,18,30,1,48,Ninguna
15,6,Plato_16,Descripción del Plato_16,16,28,2,25,Ninguna
15,6,Plato_13,Descripción del Plato_13,13,21,3,27,Ninguna
15,6,Plato_8,Descripción del Plato_8,21,35,3,51,Ninguna
16,20,Plato_16,Descripción del Plato_16,16,28,1,38,Ninguna
17,14,Plato_8,Descripción del Plato_8,21,35,1,43,Sin cebolla
17,14,Plato_4,Descripción del Plato_4,10,18,2,58,Ninguna
17,14,Plato_5,Descripción del Plato_5,13,22,3,57,Sin cebolla
18,9,Plato_9,Descripción del Plato_9,17,29,1,23,Ninguna
18,9,Plato_20,Descripción del Plato_20,25,40,2,54,Ninguna
18,9,Plato_10,Descripción del Plato_10,15,26,3,23,Ninguna
18,9,Plato_15,Descripción del Plato_15,19,32,2,34,Ninguna
19,18,Plato_20,Descripción del Plato_20,25,40,2,44,Sin cebolla
20,8,Plato_8,Descripción del Plato_8,21,35,3,50,Sin cebolla
20,8,Plato_1,Descripción del Plato_1,15,25,2,6,Sin cebolla
20,8,Plato_14,Descripción del Plato_14,14,23,1,14,Sin cebolla
21,12,Plato_20,Descripción del Plato_20,25,40,3,20,Ninguna
21,12,Plato_3,Descripción del Plato_3,12,20,2,43,Ninguna
21,12,Plato_15,Descripción del Plato_15,19,32,2,44,Sin cebolla
21,12,Plato_1,Descripción del Plato_1,15,25,2,45,Sin cebolla
22,15,Plato_4,Descripción del Plato_4,10,18,1,32,Ninguna
22,15,Plato_18,Descripción del Plato_18,20,34,3,19,Ninguna
22,15,Plato_9,Descripción del Plato_9,17,29,2,13,Sin cebolla
22,15,Plato_8,Descripción del Plato_8,21,35,1,59,Sin cebolla
23,1,Plato_12,Descripción del Plato_12,11,19,3,46,Sin cebolla
23,1,Plato_6,Descripción del Plato_6,16,27,3,17,Sin cebolla
24,5,Plato_10,Descripción del Plato_10,15,26,3,45,Ninguna
24,5,Plato_9,Descripción del Plato_9,17,29,1,46,Ninguna
24,5,Plato_14,Descripción del Plato_14,14,23,2,42,Sin cebolla
24,5,Plato_20,Descripción del Plato_20,25,40,2,47,Sin cebolla
25,12,Plato_18,Descripción del Plato_18,20,34,1,35,Sin cebolla
26,18,Plato_4,Descripción del Plato_4,10,18,2,13,Sin cebolla
26,18,Plato_13,Descripción del Plato_13,13,21,2,54,Ninguna
26,18,Plato_7,Descripción del Plato_7,14,24,2,42,Sin cebolla
27,4,Plato_8,Descripción del Plato_8,21,35,1,17,Ninguna
27,4,Plato_10,Descripción del Plato_10,15,26,1,38,Sin cebolla
28,2,Plato_4,Descripción del Plato_4,10,18,2,17,Sin cebolla
28,2,Plato_9,Descripción del Plato_9,17,29,2,39,Sin cebolla
29,20,Plato_1,Descripción del Plato_1,15,25,3,22,Sin cebolla
29,20,Plato_4,Descripción del Plato_4,10,18,2,18,Ninguna
29,20,Plato_17,Descripción del Plato_17,19,31,2,31,Sin cebolla
30,14,Plato_10,Descripción del Plato_10,15,26,2,14,Ninguna
30,14,Plato_3,Descripción del Plato_3,12,20,3,55,Ninguna
31,13,Plato_9,Descripción del Plato_9,17,29,1,59,Sin cebolla
31,13,Plato_12,Descripción del Plato_12,11,19,2,46,Sin cebolla
32,5,Plato_15,Descripción del Plato_15,19,32,2,50,Sin cebolla
32,5,Plato_11,Descripción del Plato_11,20,33,1,20,Sin cebolla
32,5,Plato_10,Descripción del Plato_10,15,26,3,35,Ninguna
32,5,Plato_4,Descripción del Plato_4,10,18,2,23,Ninguna
33,4,Plato_8,Descripción del Plato_8,21,35,3,6,Sin cebolla
33,4,Plato_6,Descripción del Plato_6,16,27,1,59,Ninguna
33,4,Plato_15,Descripción del Plato_15,19,32,3,55,Sin cebolla
33,4,Plato_10,Descripción del Plato_10,15,26,3,10,Ninguna
34,15,Plato_18,Descripción del Plato_18,20,34,1,46,Ninguna
34,15,Plato_10,Descripción del Plato_10,15,26,3,19,Sin cebolla
35,13,Plato_2,Descripción del Plato_2,18,30,3,5,Sin cebolla
35,13,Plato_9,Descripción del Plato_9,17,29,1,8,Ninguna
35,13,Plato_11,Descripción del Plato_11,20,33,1,21,Ninguna
35,13,Plato_17,Descripción del Plato_17,19,31,2,31,Sin cebolla
36,5,Plato_2,Descripción del Plato_2,18,30,1,38,Ninguna
37,20,Plato_13,Descripción del Plato_13,13,21,1,47,Ninguna
38,10,Plato_17,Descripción del Plato_17,19,31,3,21,Sin cebolla
38,10,Plato_8,Descripción del Plato_8,21,35,2,34,Ninguna
38,10,Plato_19,Descripción del Plato_19,22,36,2,43,Ninguna
39,15,Plato_19,Descripción del Plato_19,22,36,3,57,Ninguna
40,1,Plato_9,Descripción del Plato_9,17,29,3,15,Sin cebolla
40,1,Plato_11,Descripción del Plato_11,20,33,1,50,Sin cebolla
40,1,Plato_16,Descripción del Plato_16,16,28,1,13,Sin cebolla
41,7,Plato_15,Descripción del Plato_15,19,32,3,23,Sin cebolla
41,7,Plato_10,Descripción del Plato_10,15,26,3,47,Sin cebolla
41,7,Plato_2,Descripción del Plato_2,18,30,1,19,Sin cebolla
42,14,Plato_5,Descripción del Plato_5,13,22,1,57,Sin cebolla
42,14,Plato_20,Descripción del Plato_20,25,40,2,12,Sin cebolla
43,8,Plato_15,Descripción del Plato_15,19,32,1,6,Sin cebolla
43,8,Plato_18,Descripción del Plato_18,20,34,2,59,Sin cebolla
43,8,Plato_7,Descripción del Plato_7,14,24,3,57,Ninguna
43,8,Plato_17,Descripción del Plato_17,19,31,1,24,Ninguna
44,18,Plato_10,Descripción del Plato_10,15,26,1,34,Sin cebolla
44,18,Plato_1,Descripción del Plato_1,15,25,3,8,Ninguna
44,18,Plato_13,Descripción del Plato_13,13,21,1,43,Ninguna
45,17,Plato_4,Descripción del Plato_4,10,18,3,47,Ninguna
46,10,Plato_2,Descripción del Plato_2,18,30,2,23,Sin cebolla
46,10,Plato_18,Descripción del Plato_18,20,34,1,48,Sin cebolla
46,10,Plato_14,Descripción del Plato_14,14,23,2,15,Ninguna
47,18,Plato_11,Descripción del Plato_11,20,33,2,56,Ninguna
47,18,Plato_14,Descripción del Plato_14,14,23,1,17,Sin cebolla
47,18,Plato_3,Descripción del Plato_3,12,20,1,14,Sin cebolla
48,17,Plato_6,Descripción del Plato_6,16,27,3,37,Sin cebolla
48,17,Plato_5,Descripción del Plato_5,13,22,2,55,Ninguna
48,17,Plato_11,Descripción del Plato_11,20,33,1,32,Sin cebolla
49,8,Plato_7,Descripción del Plato_7,14,24,3,9,Ninguna
49,8,Plato_15,Descripción del Plato_15,19,32,3,27,Ninguna
49,8,Plato_4,Descripción del Plato_4,10,18,1,45,Sin cebolla
50,19,Plato_15,Descripción del Plato_15,19,32,1,6,Ninguna
50,19,Plato_5,Descripción del Plato_5,13,22,2,15,Ninguna
51,12,Plato_14,Descripción del Plato_14,14,23,2,33,Sin cebolla
51,12,Plato_11,Descripción del Plato_11,20,33,3,56,Ninguna
51,12,Plato_5,Descripción del Plato_5,13,22,2,53,Ninguna
51,12,Plato_4,Descripción del Plato_4,10,18,2,22,Ninguna
52,7,Plato_11,Descripción del Plato_11,20,33,3,13,Ninguna
52,7,Plato_17,Descripción del Plato_17,19,31,2,17,Sin cebolla
52,7,Plato_18,Descripción del Plato_18,20,34,3,32,Ninguna
53,16,Plato_14,Descripción del Plato_14,14,23,3,47,Sin cebolla
53,16,Plato_2,Descripción del Plato_2,18,30,3,39,Sin cebolla
53,16,Plato_19,Descripción del Plato_19,22,36,3,26,Ninguna
54,6,Plato_8,Descripción del Plato_8,21,35,3,47,Ninguna
54,6,Plato_17,Descripción del Plato_17,19,31,1,55,Sin cebolla
54,6,Plato_4,Descripción del Plato_4,10,18,1,55,Sin cebolla
54,6,Plato_11,Descripción del Plato_11,20,33,1,46,Sin cebolla
55,20,Plato_11,Descripción del Plato_11,20,33,3,27,Sin cebolla
55,20,Plato_7,Descripción del Plato_7,14,24,1,5,Ninguna
55,20,Plato_19,Descripción del Plato_19,22,36,1,51,Sin cebolla
55,20,Plato_15,Descripción del Plato_15,19,32,3,13,Ninguna
56,1,Plato_9,Descripción del Plato_9,17,29,1,38,Ninguna
56,1,Plato_12,Descripción del Plato_12,11,19,1,40,Sin cebolla
57,18,Plato_8,Descripción del Plato_8,21,35,1,21,Sin cebolla
57,18,Plato_20,Descripción del Plato_20,25,40,1,30,Sin cebolla
57,18,Plato_5,Descripción del Plato_5,13,22,1,10,Ninguna
57,18,Plato_19,Descripción del Plato_19,22,36,2,7,Sin cebolla
58,8,Plato_5,Descripción del Plato_5,13,22,1,17,Sin cebolla
58,8,Plato_3,Descripción del Plato_3,12,20,3,56,Sin cebolla
59,8,Plato_12,Descripción del Plato_12,11,19,2,13,Ninguna
59,8,Plato_14,Descripción del Plato_14,14,23,2,9,Ninguna
59,8,Plato_4,Descripción del Plato_4,10,18,2,13,Sin cebolla
59,8,Plato_20,Descripción del Plato_20,25,40,1,13,Sin cebolla
60,6,Plato_4,Descripción del Plato_4,10,18,2,23,Ninguna
60,6,Plato_11,Descripción del Plato_11,20,33,2,20,Sin cebolla
61,10,Plato_20,Descripción del Plato_20,25,40,2,56,Ninguna
61,10,Plato_4,Descripción del Plato_4,10,18,1,39,Sin cebolla
61,10,Plato_2,Descripción del Plato_2,18,30,2,13,Ninguna
61,10,Plato_16,Descripción del Plato_16,16,28,3,51,Sin cebolla
62,2,Plato_2,Descripción del Plato_2,18,30,2,59,Sin cebolla
62,2,Plato_12,Descripción del Plato_12,11,19,3,46,Sin cebolla
62,2,Plato_17,Descripción del Plato_17,19,31,1,50,Sin cebolla
63,17,Plato_3,Descripción del Plato_3,12,20,1,10,Sin cebolla
63,17,Plato_8,Descripción del Plato_8,21,35,1,20,Ninguna
64,3,Plato_3,Descripción del Plato_3,12,20,3,25,Ninguna
64,3,Plato_20,Descripción del Plato_20,25,40,3,47,Sin cebolla
64,3,Plato_19,Descripción del Plato_19,22,36,3,10,Ninguna
65,5,Plato_16,Descripción del Plato_16,16,28,1,32,Sin cebolla
65,5,Plato_17,Descripción del Plato_17,19,31,1,55,Sin cebolla
65,5,Plato_12,Descripción del Plato_12,11,19,3,51,Ninguna
65,5,Plato_20,Descripción del Plato_20,25,40,2,17,Ninguna
66,18,Plato_19,Descripción del Plato_19,22,36,1,29,Ninguna
66,18,Plato_20,Descripción del Plato_20,25,40,3,30,Ninguna
66,18,Plato_4,Descripción del Plato_4,10,18,3,55,Sin cebolla
67,2,Plato_20,Descripción del Plato_20,25,40,1,22,Ninguna
67,2,Plato_19,Descripción del Plato_19,22,36,3,59,Sin cebolla
67,2,Plato_10,Descripción del Plato_10,15,26,3,15,Sin cebolla
